name,website,total_aum,asset_class,main_sdg,impact_focuses,firm_category,firm_hq,years_in_op,total_investors,capital_from_top_3,lead_total_impact_exp,top_3_impact_exp,pct_invest_women,pct_invest_poc,pct_sr_mgmt_women,pct_sr_mgmt_poc,target_return_bm,target_return_perf,report_freq,pct_aum_impact,primary_sdg,secondary_sdg,value_add_services,impact_tracked,impact_verified,impact_reported,list_of_validators
Catalyst Fund,https://www.thecatalystfund.com/,Less than $25M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Water and Sanitation', 'Sustainable Agriculture']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,Between 5 – 25,Less than 25%,10 – 19 years,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Access to markets', 'Business and legal training', 'Technology training', 'Human Resources, recruiting and professional development services', 'Other: Embed a gender lens in product development']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Century Housing Corporation,https://century.org/,$100 – 499M,Private Debt - Absolute Return / Notes,11 – Sustainable Cities & Communities,"['Clean Technology, Alternative Energy & Climate Change', 'Affordable Housing & Community Development', 'Diversity, Equity and Inclusion']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,50% or more,50% or more,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Providing housing,Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Chasing Rainbows Management
Company, LLC",https://www.chasingrainbows.vc/,Less than $25M,Private Equity,10 – Reduced Inequalities,"['Clean Technology, Alternative Energy & Climate Change', 'Diversity, Equity and Inclusion', 'Demographic-based impact']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,More than 25,Less than 25%,10 – 19 years,10 – 19 years,Less than 25%,50% or more,Less than 25%,50% or more,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Other: Addressing sexual orientation inequities,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Chloe Capital, LLC",https://chloecapital.com/,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",5 – Gender Equality,"['Small/Medium Business Development', 'Diversity, Equity and Inclusion']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,More than 25,50% – 99%,20 – 29 years,20 – 29 years,50% or more,25% to less than 50%,50% or more,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing gender inequities,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Circulate Capital,https://www.circulatecapital.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Private Equity",14 – Life Below Water,"['Diversity, Equity and Inclusion', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Emerging Markets",Asia & Oceania,3 – 4 years,More than 25,Less than 25%,30 years or more,10 – 19 years,50% or more,50% or more,50% or more,Less than 25%,Near-market Rates,In line with initial target returns,Quarterly,100%,"Conserving land, oceans, ecosystems and natural resources",Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Education services', 'Human Resources, recruiting and professional development services', 'Other: Technical assistance to institutionalize gender policies']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
cKers Finance Pvt Ltd,https://ckersfinance.in/,Less than $25M,Private Debt - Absolute Return / Notes,7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",Asia & Oceania,5 – 9 years,Between 5 – 25,50% – 99%,30 years or more,30 years or more,25% to less than 50%,50% or more,Less than 25%,50% or more,Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Creating jobs,"['Increasing access to financial services', 'Access to markets', 'Other: Access to insurance, battery warranty and other ecosystem for our cargo electric vehicle borrowers']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Clean Energy Venture
Management LLC",https://cleanenergyventures.com/,$100 – 499M,Private Equity,7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,5 – 9 years,More than 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,Less than 25%,Less than 25%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources",['Access to markets'],Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Closed Loop Partners LLC,https://www.closedlooppartners.com/,$500 – 999M,"Private Debt - Absolute Return / Notes, Private Equity",12 – Responsible Consumption & Production,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation']",Private Equity - Other,US & Canada,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,Less than 25%,50% or more,Less than 25%,Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to water and sanitation', 'Access to markets']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"CO Capital de Impacto
Social SAPI de CV",http://co.org.mx/en/,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",1 – No Poverty,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Microfinance, low-income financial services & micro-insurance']",Venture Capital - Late Stage (Series A/B) - Emerging Markets,Latin America/Caribbean,3 – 4 years,Between 5 – 25,25% – 49%,30 years or more,20 – 29 years,50% or more,Data Not Available,25% to less than 50%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Addressing racial inequities', 'Addressing gender inequities', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Collab Capital,https://www.collab.capital/,$50 – 99M,Private Equity,10 – Reduced Inequalities,"['Nutrition, Health and Wellness', 'Demographic-based impact', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,3 – 4 years,Between 5 – 25,Less than 25%,10 – 19 years,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing racial inequities,Creating jobs,"['Increasing access to healthcare services and improving health', 'Promoting arts and media', 'Addressing racial inequities', 'Addressing gender inequities', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Community Investment
Management LLC",https://cim-llc.com/,$500 – 999M,"Cash / Cash Alternatives, Private Debt - Absolute Return / Notes",8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Promoting arts and media', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Connect Humanity,https://connecthumanity.fund/,Less than $25M,Private Debt - Absolute Return / Notes,"9 – Industrial, Innovation & Infrastructure","['Small/Medium Business Development', 'Demographic-based impact', 'Place-based impact']",Private Debt - Other,US & Canada,Less than 3 years,Less than 5,100%,10 – 19 years,10 – 19 years,Less than 25%,50% or more,25% to less than 50%,25% to less than 50%,Near-market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Alleviating poverty,"Increasing access to workforce development services, job skilling and retraining","['Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Promoting arts and media', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Health services', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Conscious Venture Partners, LLC",https://www.cvpartners.vc/,Less than $25M,Private Equity,3 – Good Health & Well-Being,"['Media, Technology and Mobile', 'Diversity, Equity and Inclusion', 'Place-based impact']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,10 – 19 years,Less than 25%,25% to less than 50%,50% or more,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,75% – 99%,Other: Breaking down barriers to access,Addressing climate change and environmental issues,"['Creating jobs', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Technology training', 'Education services', 'Racial bias training or bias training', 'Other: Training in conscious capitalism']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
CoPeace PBC,https://copeace.com/,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Media, Technology and Mobile']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,25% to less than 50%,50% or more,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Increasing access to healthcare services and improving health,"['Business and legal training', 'Financial literacy training', 'Technology training', 'Education services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Core Innovation Capital,https://corevc.com/,$100 – 499M,Private Equity,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Access to markets']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Coyote Ventures,https://www.coyote.ventures/,Less than $25M,Private Equity,5 – Gender Equality,"['Nutrition, Health and Wellness', 'Diversity, Equity and Inclusion']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,More than 25,Less than 25%,10 – 19 years,10 – 19 years,50% or more,Less than 25%,50% or more,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing gender inequities,Addressing climate change and environmental issues,"['Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Addressing gender inequities', 'Other: Expert advisory network, introduction to investors, product and science consulting support']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Craft3,https://www.craft3.org/,$100 – 499M,Private Debt - Absolute Return / Notes,11 – Sustainable Cities & Communities,"['Clean Technology, Alternative Energy & Climate Change', 'Job creation and workforce development', 'Racial equity and justice']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,25% to less than 50%,25% to less than 50%,25% to less than 50%,Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Education services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Creation Investments Capital
Management, LLC",https://creationinvestments.com,$1B or more,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']",Private Equity - Growth Stage (Emerging Markets),US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Increasing access to financial services,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Health services', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Cross-Border Impact Ventures,https://www.crossborder.ventures/,$50 – 99M,Private Equity,3 – Good Health & Well-Being,"['Nutrition, Health and Wellness', 'Global Health', 'Diversity, Equity and Inclusion']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,Less than 3 years,More than 25,25% – 49%,30 years or more,10 – 19 years,50% or more,25% to less than 50%,50% or more,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to healthcare services and improving health,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Technology training', 'Other: Database of ESG best practices, including template starter policies']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
CrossBoundary LLC,https://crossboundary.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Real Estate, Private Equity","9 – Industrial, Innovation & Infrastructure","['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Place-based impact']",Real Assets - Infrastructure,Africa,10 years or more,Less than 5,50% – 99%,30 years or more,30 years or more,25% to less than 50%,50% or more,25% to less than 50%,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Business and legal training', 'Technology training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
DBL Partners,https://www.dbl.vc/,$1B or more,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Nutrition, Health and Wellness', 'Sustainable Agriculture']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,Less than 25%,50% or more,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Financial literacy training', 'Human Resources, recruiting and professional development services', 'Other: Policy analysis and opportunity identification support; DEI recruitment and strategy development; Developing sustainability-focused products; Impact metric development support']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Deetken Asset Management Inc.,http://www.deetkenimpact.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Private Equity",13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Diversity, Equity and Inclusion']",Mezzanine Finance,US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,20 – 29 years,50% or more,50% or more,25% to less than 50%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Health services', 'Education services', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: Gender smart business practices']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Dirt Capital Partners, LLC",https://www.dirtpartners.com/,$25 – 49M,Real Estate,15 – Life on Land,"['Natural Resources and Conservation', 'Sustainable Agriculture', 'Small/Medium Business Development']",Real Assets - Farmland,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,20 – 29 years,25% to less than 50%,50% or more,25% to less than 50%,50% or more,Concessionary Rates,In line with initial target returns,Quarterly,100%,"Conserving land, oceans, ecosystems and natural resources",Addressing climate change and environmental issues,"['Increasing access to financial services', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
DWM Asset Management LLC,https://dwmarkets.com/,$500 – 999M,"Public Debt, Private Debt - Absolute Return / Notes, Private Equity",1 – No Poverty,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Business and legal training', 'Technology training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Earthshot Ventures, LLC",https://www.earthshot.vc/,$50 – 99M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Diversity, Equity and Inclusion']",Venture Capital - Multi Stage - Developed Markets,US & Canada,Less than 3 years,Between 5 – 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,Less than 25%,Less than 25%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Access to markets', 'Technology training', 'Other: Fundraising support, serving on boards']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Echo River Capital LLC,https://www.echorivercap.com/,Less than $25M,Private Equity,6 – Clean Water & Sanitation,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Water and Sanitation']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,Between 5 – 25,50% – 99%,3 – 9 years,3 – 9 years,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to water and sanitation', 'Business and legal training', 'Other: Capacity building assistance - financial/operational and business strategy, capital raising, and impact measurement and reporting']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
EcoEnterprises Fund,https://ecoenterprisesfund.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Private Equity",15 – Life on Land,"['Natural Resources and Conservation', 'Small/Medium Business Development', 'Diversity, Equity and Inclusion']",Mezzanine Finance,US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,50% or more,25% to less than 50%,50% or more,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,"Conserving land, oceans, ecosystems and natural resources",Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Human Resources, recruiting and professional development services', 'Other: Enhancement of gender inclusion practices through initiatives such as the Women’s Empowerment Principles; training in environmental and social best practices and certification regimes']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
